series,adf_stat,adf_p,adf_stationary,kpss_stat,kpss_p,kpss_stationary
raw,-8.94888828025689,8.833753129594426e-15,True,0.03839879299909173,0.1,True
1st difference,-16.952574397050544,9.437199196925181e-30,True,0.07832177299842126,0.1,True
seasonal diff (lag=24),-13.593416808868911,2.0162731913542857e-25,True,0.008673777652856035,0.1,True
1st + seasonal diff (lag=24),-18.154422504160017,2.4709164270193244e-30,True,0.08083748665992967,0.1,True
