model,RMSE,MAE,MAPE_%,sMAPE_%
SARIMA,26.237022762502942,18.83200312208405,19.222038017330352,17.31394299605138
seasonal_naive_weekly,48.80753964221026,30.0,22.444401873270273,23.190378017953687
mean,50.00630209288558,39.37819717144362,40.46416833042623,37.61469640695458
Foundation_model_(chronos),50.46243871287204,35.488251792060005,26.289470450149743,33.092596543292494
XGBoost_features,65.52027882424704,53.33455069859823,52.73285245976561,38.47456376132543
seasonal_naive_daily,118.04346343300529,80.27777777777777,70.61331312889047,44.20410502476919
naive,247.60145694539335,242.63888888888883,298.6674610589754,110.21427055233089
drift,248.7581250124183,243.88056402152233,299.909201551902,110.46963446636322
