origin,RMSE,MAE,MAPE_%
2016-05-13 19:00:00,118.04346343300529,80.27777777777777,70.61331312889047
2016-05-14 19:00:00,34.178520978771104,23.26388888888889,27.056238164026464
2016-05-15 19:00:00,59.302465441222665,37.708333333333336,27.255626095429147
2016-05-16 19:00:00,78.2697732678932,51.52777777777777,86.65936033689107
2016-05-17 19:00:00,24.31706076902479,15.902777777777777,17.217523147675546
2016-05-18 19:00:00,33.331597177008646,19.375000000000004,21.298532863215655
2016-05-19 19:00:00,43.46534379377565,28.26388888888889,37.02535705506054
2016-05-20 19:00:00,151.9967409494666,94.58333333333333,41.820351915142446
2016-05-21 19:00:00,112.63212406045785,73.95833333333333,59.738308764927616
2016-05-22 19:00:00,83.02651852136025,50.90277777777777,77.61796683055276
2016-05-23 19:00:00,53.88065515563076,34.375,28.571638224415242
2016-05-24 19:00:00,45.624524350640876,32.708333333333336,41.722543716964
2016-05-25 19:00:00,116.53415093153309,69.79166666666667,31.05211026593848
2016-05-26 19:00:00,113.64082061966603,63.680555555555564,38.927863015381554
